2456614.57880897   8152.26   8138.51   11.63  119.91  -6028.07 248. 0 0    472.39  116 RV85212_psi1Dra_A_cell_20131118_XEM.da
2456755.98440149   9313.18   9308.36   13.67  143.30 -12319.16 254. 0 0    447.52  117 RV87981_psi1Dra_A_cell_20140408_XEM.da
2456759.96890652   9385.42   9365.99   15.08  157.91 -12364.59 243. 0 0    503.88  117 RV88381_psi1Dra_A_cell_20140412_XEM.da
2456784.83825695   9606.45   9603.18   16.89  175.41 -12093.96 273. 0 0    792.55  114 RV88615_psi1Dra_A_cell_20140507_XEM.da
2456816.67187392   9908.65   9895.07   13.97  142.10 -11165.53 241. 0 0    695.41  114 RV89735_psi1Dra_A_cell_20140608_XEM.da
2456816.67388479   9915.98   9907.13   15.36  157.31 -11173.77 243. 0 0    685.12  114 RV89736_psi1Dra_A_cell_20140608_XEM.da
2456860.72702635  10402.66  10402.09   16.23  164.18  -9631.10 243. 0 0    988.93  109 RV90406_psi1Dra_A_cell_20140722_XEM.da
2456860.72906143  10422.24  10421.35   15.07  150.27  -9652.12 244. 0 0    958.38  105 RV90407_psi1Dra_A_cell_20140722_XEM.da
2456885.62395463  10604.16  10607.27   14.84  149.62  -8699.75 240. 0 0    866.59  109 RV91271_psi1Dra_A_cell_20140816_XEM.da
2456938.63371554  11196.75  11189.37   15.68  161.88  -8284.95 258. 0 0    636.58  114 RV92853_psi1Dra_A_cell_20141008_XEM.da
2456938.63600318  11182.70  11172.63   14.68  151.97  -8271.89 258. 0 0    635.80  115 RV92854_psi1Dra_A_cell_20141008_XEM.da
2457092.01964197  12117.40  12113.88   15.08  157.66 -14828.90 259. 0 0    536.68  115 RV95508_psi1Dra_A_cell_20150310_XEM.da
2457109.84900739  12068.31  12076.67   15.13  157.83 -14954.51 253. 0 0    504.71  117 RV95899_psi1Dra_A_cell_20150328_XEM.da
2457118.96211719  12019.04  11986.70   16.49  172.38 -15009.61 239. 0 0    579.02  113 RV96457_psi1Dra_A_cell_20150406_XEM.da
2457150.92188505  11696.47  11685.18   16.68  174.81 -14225.75 240. 0 0    489.48  117 RV96752_psi1Dra_A_cell_20150508_XEM.da
2457174.95966752  11292.59  11267.35   17.48  182.95 -13036.17 283. 0 0    800.05  116 RV97456_psi1Dra_A_cell_20150601_XEM.da
2457214.83269121  10265.36  10239.79   16.92  174.53 -10095.32 246. 0 0    938.69  115 RV97829_psi1Dra_A_cell_20150711_XEM.da
2457214.83593948  10274.46  10252.75   15.60  157.33 -10106.18 246. 0 0    954.40  109 RV97830_psi1Dra_A_cell_20150711_XEM.da
2457216.72646033  10220.08  10219.82   15.75  165.67  -9884.02 242. 0 0    685.08  118 RV97987_psi1Dra_A_cell_20150713_XEM.da
2457216.72861646  10246.09  10228.33   14.80  152.34  -9911.60 243. 0 0    635.23  116 RV97988_psi1Dra_A_cell_20150713_XEM.da
2457245.60314362   9325.71   9301.65   15.65  159.37  -7607.67 245. 0 0    672.19  113 RV98358_psi1Dra_A_cell_20150811_XEM.da
2457245.60538727   9324.21   9299.34   16.41  170.38  -7607.78 247. 0 0    702.25  113 RV98359_psi1Dra_A_cell_20150811_XEM.da
2457248.60697322   9328.05   9337.84   17.29  174.30  -7495.74 242. 0 0    776.80  109 RV98649_psi1Dra_A_cell_20150814_XEM.da
